Prod,Price,Week 3/7/2022 - 3/9/2022 Net Units,Week 3/7/2022 - 3/9/2022 Net Sales,Month 3/1/2022 - 3/9/2022 Net Units,Month 3/1/2022 - 3/9/2022 Net Sales,Year 1/1/2022 - 3/9/2022 Net Units,Year 1/1/2022 - 3/9/2022 Net Sales,Category
666,5.89,0,0,0,0,2,11.78,LV
6&20 Vodka,9,0,0,0,0,2,18.00,LS
Six & Twenty Old Money Whiskey,9,0,0,0,0,7,63.00,LS
6-pack TOGO,20,0,0,0,0,1,20.00,BI
Aberlour 12yr,9.5,0,0,1,9.5,3,28.50,LV
Allagash Curieux,9,1,9,3,27,15,135.00,BD
Allagash Grove Peach Kombucha Session ,5.25,0,0,0,0,4,21.00,BI
Allagash White,5.5,1,5.5,9,49.5,46,253.00,BD
Anderson Valley Blood Orange Gose,6,0,0,11,66,26,156.00,BD
Aperol ,7,0,0,0,0,6,42.00,LV
Aperol ,7.5,0,0,1,7.5,18,135.00,CH
Aperol ,25,0,0,0,0,2,50.00,CH
Baby Spice (drink),7,12,84,31,217,155,1085.00,LV
Baby Spice (shot),3,0,0,7,21,23,69.00,LV
BananaCreamShot,5.75,0,0,8,46,8,46.00,LV
Bar Spell It $$,2,0,0,1,2,42,77.50,MD
Bday Shot,3,0,0,1,3,7,21.00,LV
Beefeater Gin,5.5,0,0,3,16.5,7,38.50,LV
Bells RindOverMatterl,3,0,0,1,3,12,53.50,BI
Bells Two Hearted,6,1,6,5,30,62,372.00,BD
BFS Bluprint,7.5,2,15,21,157.5,177,1290.00,BI
Black Ridge Cab,30,1,15,2,30,10,165.00,WI
Black Ridge Cab,9,1,9,15,108,100,772.00,WI
Blakes,5.25,1,5.25,6,31.5,35,178.50,BI
Blanton's,16,0,0,7,112,26,400.00,LB
Bloody Bucket,10,0,0,0,0,1,10.00,LV
Bloody Mary Classic,5,0,0,1,5,43,215.00,LV
Bloody Mary Classic,5,0,0,0,0,11,55.00,LV
Bloody Mary Pitcher,20,0,0,0,0,1,20.00,LV
Boddington's,6,0,0,10,60,18,108.00,BI
Brewery 85 southern Pale Ale,4.5,0,0,0,0,4,18.00,BD
Pinot Noir,36,1,18,3,72,5,90.00,WI
Brut,22,0,0,0,0,7,77.00,WI
Chardonnay,32.5,0,0,0,0,2,48.75,WI
Cabernet,26,2,26,2,26,4,52.00,WI
Malbec,32,0,0,0,0,3,48.00,WI
Pinot Grigio,32,0,0,0,0,2,32.00,WI
Sauvignon Blanc,36,0,0,0,0,3,36.00,WI
Rose,24,0,0,0,0,4,36.00,WI
Coors Banquet 18pk,10,3,30,3,30,6,60.00,BI
White Claw,17,0,0,0,0,1,17.00,BI
Buffalo Trace,8,1,8,12,88,61,448.00,LB
Butterscotch Schnapps,4,0,0,0,0,3,12.00,LV
Buttery Nipple,4.5,0,0,0,0,13,58.50,LV
Campari,6,0,0,0,0,9,54.00,LV
Captain Morgan,3.5,4,14,18,63,129,444.50,LC
Captain Morgan,3,0,0,0,0,7,21.00,LC
Car Bomb,7.5,0,0,4,30,22,165.00,LV
Casamigos,8.5,0,0,7,59.5,84,671.50,LV
Casamigos Mezcal,9,0,0,1,9,10,90.00,LV
Chai Old Fashioned,7,0,0,0,0,40,280.00,LV
Chambord,6.5,0,0,0,0,1,6.50,LV
Chartrues Greene,11,0,0,3,33,7,66.00,LV
Chartrues Greene,12,0,0,0,0,1,12.00,LV
Consider Me OldF,5.5,0,0,0,0,2,5.50,LV
Consider me vodka,5.5,0,0,0,0,13,71.50,LV
Coors Banquet 18pk,4.43,14,62.02,67,296.81,408,1794.15,BD
Coors Banquet 18pk,2.78,30,83.4,208,578.24,1131,3066.34,SI
Coors Banquet 18pk,1.78,0,0,0,0,63,112.14,SI
Crown Royal,7,3,21,5,35,37,259.00,LV
Cutty sark,4,1,4,1,4,11,44.00,LV
Cutty sark,3,0,0,0,0,2,6.00,LV
Dalwhinnie,9,0,0,0,0,1,9.00,LS
Deep Eddy,3.5,14,49,87,304.5,588,2047.50,LV
Deep Eddy,3,0,0,0,0,39,117.00,LV
Deep Eddy Lemon,4.43,0,0,2,8.86,41,181.63,LV
Dewars,5.5,2,11,2,11,7,38.50,LV
George Dickel,4,12,48,23,92,149,588.00,LV
Dirty Horchata,7.25,0,0,3,21.75,72,522.00,LV
Dirty Martini,2.5,2,5,4,10,30,75.00,BV
Disaronno,6.5,0,0,6,39,35,227.50,LV
DOGFATHER,8.5,0,0,36,306,36,306.00,LV
Don Julio Silver,12,0,0,10,120,29,348.00,LV
Don Q,3.5,3,10.5,7,24.5,7,24.50,LC
Draft 1/2 PINT,4,0,0,5,20,25,100.00,BI
Draft 1/2 PINT,4,0,0,1,4,6,24.00,BI
Draft A Valley Briney M,8,4,32,4,32,4,32.00,BI
Draft A Valley Briney M,7,1,7,1,7,1,7.00,BI
Draft Ace Pear,6.5,0,0,0,0,31,188.50,BI
Draft Ace Pear,5.5,0,0,0,0,4,22.00,BI
Draft Wiseacre Ananda IPA,6.25,0,0,0,0,34,206.25,BI
Draft Anderson Valley,6.5,0,0,0,0,100,611.00,BI
Draft Anderson Valley,5.5,0,0,0,0,14,77.00,BI
Draft Bauernhaus Whiske,9.5,0,0,0,0,25,228.00,BI
Draft Bauernhaus Whiske,8.5,0,0,0,0,4,34.00,BI
Draft Bells Porter,6,0,0,0,0,30,180.00,BI
Draft Bells Porter,5,0,0,0,0,7,35.00,BI
BFS Bluprint,7,0,0,0,0,42,294.00,BI
Draft BFS Days Kolsch,6,0,0,38,228,64,372.00,BI
Draft BFS Days Kolsch,5,0,0,0,0,12,60.00,BI
Draft BFS Fat Ma Pils,6,0,0,1,6,28,168.00,BI
