Name,Price,Units,Sales,Year,Category,Category_2
666,5.89,14,82.46,2021,LV,Spirits
666,5.89,2,11.78,2022,LV,Spirits
666,5.89,126,724.47,2019,LV,Spirits
666,5.89,16,94.24,2020,LV,Spirits
$5 Old Fasioned Mondays,5,49,245,2021,LV,Spirits
$5 vELO carbombs,4.43,69,305.67,2022,LV,Spirits
$7 Irish  Goodbye,7,6,42,2022,LV,Spirits
10.30 drag shot,4,14,56,2021,LV,Spirits
11.4 Cocktail,5,19,95,2021,WI,Wine
5$ cocktail,5,15,75,2019,WI,Wine
57 Chevy,7,8,56,2019,WI,Wine
6-pack TOGO,20,1,20,2022,WI,Wine
Aberlour 12yr,9.5,25,237.5,2021,LV,Spirits
Aberlour 12yr,9.5,3,28.5,2022,LV,Spirits
Aberlour 12yr,9.5,18,171,2020,LV,Spirits
Aberlour 12yr,9.5,27,228,2019,LV,Spirits
Absolut Pear,4,16,60,2021,LV,Spirits
Ace Cider Perry Can,5.25,44,220.5,2021,BI,Beer
Albarino,40,6,120.02,2021,WI,Wine
Albarino,10,16,90,2021,WI,Wine
Allagash Curieux,9,21,189,2021,BD,Beer
Allagash Curieux,9,20,180,2022,BD,Beer
Allagash Grove Peach Kombucha Session ,5.25,5,21,2021,BI,Beer
Allagash Grove Peach Kombucha Session ,5.25,4,21,2022,BI,Beer
Allagash White,5.5,280,1540,2021,BD,Beer
Allagash White,5.5,101,533.5,2022,BD,Beer
Aloha,5,27,135,2019,BD,Beer
Amaretto,6,66,396,2020,BD,Beer
Amaretto,6,121,714,2019,BD,Beer
Amaretto By Morning,7.5,243,1822.5,2021,CH,Spirits
Amaretto By Morning,7.5,67,502.5,2020,CH,Spirits
Anderson Valley Blood Orange Gose,6,32,186,2021,BD,Beer
Anderson Valley Blood Orange Gose,6,796,4752,2019,BD,Beer
Anderson Valley Blood Orange Gose,6,58,348,2022,BD,Beer
Anderson Valley Blood Orange Gose,6,117,654,2021,BI,Beer
Anderson Valley Blood Orange Gose,6,499,2898,2020,CH,Spirits
Aperol,7,6,42,2022,BD,Spirits
Aperol,7,5,35,2020,BD,Spirits
Aperol,7,30,210,2019,BD,Spirits
Aperol ,25,8,200,2021,CH,Spirits
Aperol ,25,2,50,2022,CH,Spirits
Aperol ,7.5,93,697.5,2021,CH,Spirits
Aperol ,7.5,33,247.5,2022,CH,Spirits
Aperol ,7.5,21,157.5,2020,CH,Spirits
Aperol ,7.5,50,345,2019,CH,Spirits
Aperol ,7,15,105,2021,LV,Spirits
Arcimboldo,7,22,154,2019,CH,Spirits
Arctic  Seltzer,5.25,44,220.5,2019,CH,Spirits
Arctic  Seltzer,4,36,144.75,2020,CH,Spirits
Ardbeg,12,18,192,2021,LS,Spirits
Ardbeg,12,1,12,2022,LS,Spirits
Ardbeg,12,13,156,2020,LS,Spirits
Ardbeg,12,27,324,2019,LS,Spirits
Austin  Cider,5.25,19,99.75,2019,LS,Spirits
Avery White Rascal,5.5,71,390.5,2021,BI,Beer
Baby Spice (drink),7,601,4193,2021,LV,Spirits
Baby Spice (drink),7,260,1820,2022,LV,Spirits
Baby Spice (drink),7,323,2088.5,2020,LV,Spirits
Baby Spice (drink),6,242,1438.8,2019,LV,Spirits
Baby Spice (shot),3,42,126,2021,LV,Spirits
Baby Spice (shot),3,24,72,2022,LV,Spirits
Baby Spice (shot),3,87,261,2020,LV,Spirits
Baby Spice (shot),3,173,513,2019,LV,Spirits
Bakers,8.5,16,136,2020,LV,Spirits
Bakers,8.5,23,195.5,2019,LV,Spirits
Balvenine 12,11,9,99,2019,LV,Spirits
BananaCreamShot,5.75,25,143.75,2022,LV,Spirits
Bar Spell It $$,3,248,402.75,2021,MD,Spirits
Bar Spell It $$,1,588,719.5,2020,MD,Spirits
Bar Spell It $$,1,615,698.25,2019,MD,Spirits
Basil Hayden,9,89,774,2020,MD,Spirits
Basil Hayden,9,156,1395,2019,MD,Spirits
Bday Shot,3,28,84,2021,LV,Spirits
Bday Shot,3,7,21,2022,LV,Spirits
Beck & Claw,9.5,109,1035.5,2021,CH,Spirits
Beck & Claw,9.5,112,1064,2020,CH,Spirits
Beck & Claw,9.5,113,1073.5,2019,CH,Spirits
Beefeater Gin,5.5,13,71.5,2022,CH,Spirits
Beefeater Gin,5.5,17,93.5,2020,CH,Spirits
Beefeater Gin,5.5,73,401.5,2019,CH,Spirits
Beefeater Gin,5.5,58,319,2021,LV,Spirits
BEER,12,14,168,2020,LV,Spirits
Beer shot special,18,17,306,2020,BD,Beer
Beer shot special,4.43,2999,13192.54,2021,BD,Beer
Beer shot special,4.43,671,2954.81,2022,BD,Beer
Beer shot special,4.43,2776,12167.01,2020,BD,Beer
Beer shot special,4.43,3554,15449.64,2019,BD,Beer
Bell's 2 Heart,6,286,1698,2021,BD,Beer
Bell's 2 Heart,6,113,678,2022,BD,Beer
Bell's 2 Heart,6,338,2016,2020,BD,Beer
Bell's 2 Heart,6,431,2538,2019,BD,Beer
Bell's Oberon,5.25,236,1212.75,2019,BD,Beer
Bell's Rind Over Matter,3,16,65.5,2022,BD,Beer
Bernheim,8,7,56,2021,LB,Spirits
Bernheim,8,7,56,2020,LB,Spirits
Bernheim,8,8,64,2019,LB,Spirits
BFS  Bluprint,7.5,245,1800,2022,LB,Spirits
BFS  Bluprint,7.5,132,988.5,2020,LB,Spirits
BFS Blu Print,7.5,468,3465,2019,LB,Spirits
BFS Bluprint,7.5,626,4665,2021,BI,Beer
BFS Flock,5,288,2093.5,2020,BI,Beer
BFS Pilsner,6,28,168,2022,BI,Beer
BFS Pilsner,5,10,50,2022,BI,Beer
BFS Radio,6.5,11,71.5,2020,BI,Beer
BFS Radio,6.5,170,1098.5,2019,BI,Beer
BFS Stout,7.25,2,14.5,2019,BI,Beer
Blackberry Classic Saison ,6.25,18,112.5,2021,BD,Beer
Blakes,5.5,13,71.5,2020,BI,Beer
Blakes,5.5,119,697.5,2019,BI,Beer
Blakes,5.25,424,2199.23,2021,BI,Beer
Blakes,5.25,46,231,2022,BI,Beer
Blakes,5.25,481,2514.23,2020,BI,Beer
Blakes,5.25,495,2580.38,2019,BI,Beer
Blakes,5,48,235,2021,BI,Beer
Blanton's,16.5,155,1934.55,2019,BI,Spirits
Blanton's,16,44,688,2022,BI,Spirits
Blanton's,16,86,1348.5,2020,BI,Spirits
Blanton's,16,82,1216,2021,LB,Spirits
Bloody Bucket,10,6,60,2021,LV,Spirits
Bloody Bucket,10,9,90,2022,LV,Spirits
Bloody Maria,9,33,297,2021,LV,Spirits
Bloody Maria,9,3,27,2020,LV,Spirits
Bloody Maria,9,10,90,2020,LV,Spirits
Bloody Mary Classic,5,105,525,2021,LV,Spirits
Bloody Mary Classic,5,463,2285,2021,LV,Spirits
Bloody Mary Classic,5,79,390,2022,LV,Spirits
Bloody Mary Classic,5,21,105,2022,LV,Spirits
Bloody Mary Classic,5,12,60,2020,LV,Spirits
Bloody Mary Classic,5,74,369.5,2020,LV,Spirits
Bloody Mary Pitcher,20,14,280,2021,LV,Spirits
Bloody Mary Pitcher,20,2,40,2022,LV,Spirits
Bloody Mary Southern Co,12,6,72,2021,LV,Spirits
Bloody Mary Southern Co,12,1,12,2020,LV,Spirits
Bloody Mary Southern Co,12,1,12,2020,LV,Spirits
Boddington's,6,170,1014,2021,BI,Beer
Boddington's,6,57,342,2022,LV,Spirits
Boddington's,6,213,1230,2020,LV,Spirits
Boddington's,6,284,1692,2019,LV,Spirits
Bombay,6.75,1,6.75,2021,LV,Spirits
Bombay,6.75,41,276.75,2020,LV,Spirits
Bombay,6.75,52,351,2019,LV,Spirits
Botanist,7.5,27,202.5,2019,LV,Spirits
Boulevard,10,16,160,2019,LV,Spirits
Brewery 85 southern Pale Ale,4.5,7,31.5,2021,BD,Beer
Brewery 85 southern Pale Ale,4.5,7,31.5,2022,BD,Beer
Brut,24,28,378,2019,BI,Wine
Brut,22,10,110,2022,BI,Wine
Brut,22,29,433,2020,BI,Wine
Brut,15,1,15,2021,BI,Wine
Brut,6,95,570,2019,BI,Beer
Brut,5.75,41,218.5,2022,BI,Beer
Brut,5.75,89,480,2020,BI,Beer
Brut,22,49,913,2021,WI,Wine
Brut,5.75,131,678.5,2021,WI,Wine
Bucket Saint Archer,14,15,188,2020,BI,Beer
Bud Light,3.54,38,129.21,2019,BI,Beer
Buffalo Trace,8,388,3064,2021,LB,Spirits
Buffalo Trace,8,100,760,2022,LB,Spirits
Buffalo Trace,8,196,1552,2020,LB,Spirits
Buffalo Trace,8,407,3144,2019,LB,Spirits
Bulleit,8,8,64,2021,LB,Spirits
Bulleit,8,31,248,2020,LB,Spirits
Bulleit Rye,7,215,1498,2019,LB,Spirits
Bulrush,7,98,672,2019,LB,Spirits
Bulrush,7,7,49,2021,LD,Spirits
Bulrush,7,26,174.3,2020,LD,Spirits
Bushmills Whiskey,6,30,180,2020,LD,Spirits
Bushmills Whiskey,6,77,438,2019,LD,Spirits
Bushmills Whiskey,6,18,108,2021,LV,Spirits
Butterscotch Schnapps,4,11,4,2021,LV,Spirits
Butterscotch Schnapps,4,3,12,2022,LV,Spirits
Butterscotch Schnapps,4,6,24,2020,LV,Spirits
Butterscotch Schnapps,4,12,44,2019,LV,Spirits
Buttery Nipple,4.5,32,144,2021,LV,Spirits
Buttery Nipple,4.5,13,58.5,2022,LV,Spirits
Cabernet,30,13,225,2022,LV,Wine
Cabernet,30,1,15,2020,LV,Wine
Cabernet,26,4,52,2022,LV,Wine
Cabernet,30,28,555,2021,WI,Wine
Cabernet,8,479,3776,2021,WI,Wine
Cabernet,6,324,2174,2020,WI,Wine
Cabernet,6,22,103,2020,WI,Wine
Cabernet,7,634,4371.5,2019,WI,Wine
Cabernet,7,35,245,2019,WI,Wine
Cabernet,9,160,1312,2022,WI,Wine
Cabernet,6.5,14,91,2019,WI,Wine
Cabernet,6.5,60,383.5,2022,WI,Wine
